"시도별","주요 업종별",2018,2019,2020
"충청북도","치킨전문점",881,907,965
"충청북도","김밥, 기타 간이음식점 및 포장 판매점",407,442,481
"충청북도","생맥주 및 기타 주점업",465,406,406
"충청북도","커피 및 기타 비알코올 음료점업",417,443,554
"충청북도","자동차 전문 수리업",244,245,195
"충청북도","두발 미용업",75,73,76
"충청북도","가정용 세탁업",91,118,123
"충청북도","기타 프랜차이즈",707,762,848
"충청남도","체인화 편의점",2115,2136,2377
"충청남도","문구용품 및 회화용품 소매업",80,78,80
"충청남도","의약품 및 의료용품 소매업",93,93,95
"충청남도","안경 및 렌즈 소매업",142,127,123
"충청남도","한식 음식점업",1455,1501,1679
"충청남도","외국식 음식점업",304,295,331
"충청남도","제과점업",307,332,330
"충청남도","피자, 햄버거, 샌드위치 및 유사 음식점업",561,597,643
"충청남도","치킨전문점",1234,1211,1229
"충청남도","김밥, 기타 간이음식점 및 포장 판매점",629,577,662
"충청남도","생맥주 및 기타 주점업",514,448,436
"충청남도","커피 및 기타 비알코올 음료점업",633,631,724
"충청남도","자동차 전문 수리업",317,325,270
"충청남도","두발 미용업",90,101,102
"충청남도","가정용 세탁업",189,195,188
"충청남도","기타 프랜차이즈",943,989,1074
"전라북도","체인화 편의점",1286,1262,1437
"전라북도","문구용품 및 회화용품 소매업",49,47,46
"전라북도","의약품 및 의료용품 소매업",108,94,99
"전라북도","안경 및 렌즈 소매업",165,148,151
"전라북도","한식 음식점업",932,1018,1137
"전라북도","외국식 음식점업",196,200,229
"전라북도","제과점업",247,262,277
"전라북도","피자, 햄버거, 샌드위치 및 유사 음식점업",421,467,531
"전라북도","치킨전문점",835,812,896
"전라북도","김밥, 기타 간이음식점 및 포장 판매점",473,505,571
"전라북도","생맥주 및 기타 주점업",462,371,391
"전라북도","커피 및 기타 비알코올 음료점업",612,650,729
"전라북도","자동차 전문 수리업",278,268,230
"전라북도","두발 미용업",85,65,76
"전라북도","가정용 세탁업",139,107,98
"전라북도","기타 프랜차이즈",730,784,870
"전라남도","체인화 편의점",1125,1174,1369
"전라남도","문구용품 및 회화용품 소매업",63,64,68
"전라남도","의약품 및 의료용품 소매업",121,129,129
"전라남도","안경 및 렌즈 소매업",137,124,120
"전라남도","한식 음식점업",728,781,973
"전라남도","외국식 음식점업",163,167,201
"전라남도","제과점업",234,257,267
"전라남도","피자, 햄버거, 샌드위치 및 유사 음식점업",409,404,453
"전라남도","치킨전문점",833,809,933
"전라남도","김밥, 기타 간이음식점 및 포장 판매점",423,426,468
"전라남도","생맥주 및 기타 주점업",631,431,404
"전라남도","커피 및 기타 비알코올 음료점업",525,545,662
"전라남도","자동차 전문 수리업",307,316,240
"전라남도","두발 미용업",46,46,80
"전라남도","가정용 세탁업",114,97,103
"전라남도","기타 프랜차이즈",739,718,804
"경상북도","체인화 편의점",1926,1922,2191
"경상북도","문구용품 및 회화용품 소매업",81,72,73
"경상북도","의약품 및 의료용품 소매업",135,144,152
"경상북도","안경 및 렌즈 소매업",126,120,123
"경상북도","한식 음식점업",1333,1440,1642
